"HCPCS","DESCRIPTION"
"0528F","Recommended follow-up in 10 years documented"
"0528T","Programming device evaluation, intracardiac ischemia monitoring system, in person"
"0528T","Programming device evaluation, intracardiac ischemia monitoring system, in person"
"0528T","Programming device evaluation, intracardiac ischemia monitoring system, in person"
"0529F","Interval of 3 or more years for patient colonoscopy documented"
"0529T","Interrogation device evaluation, intracardiac ischemia monitoring system, in person"
"0529T","Interrogation device evaluation, intracardiac ischemia monitoring system, in person"
"0529T","Interrogation device evaluation, intracardiac ischemia monitoring system, in person"
"0530T","Removal of complete intracardiac ischemia monitoring system"
"0531T","Removal of intracardiac ischemia monitoring system, electrode only"
"0532T","Removal of intracardiac ischemia monitoring system, implantable monitor only"
"0535F","Dyspnea management plan documented"
"0540F","Glucose management plan documented"
"0541T","Myocardial imaging, magnetocardiography"
"0542T","Myocardial imaging, magnetocardiography, interpretation and report"
"0543T","Transapical mitral valve repair with artificial chordae tendineae"
"0544T","Transcatheter mitral valve annulus reconstruction"
"0545F","Follow-up care plan for major depressive disorder documented"
"0545T","Transcatheter tricuspid valve annulus reconstruction"
"0546T","Radiofrequency spectroscopy, intraoperative margin assessment"
"0547T","Bone material quality testing, microindentation, tibia"
"0550F","Cytopathology report, non-gynecological specimen"
"0551F","Cytopathology report, non-routine"
"0552T","Low-level laser therapy"
"0554T","Bone strength and fracture risk analysis"
"0555F","Symptom management plan of care documented"
"0555T","Bone strength and fracture risk analysis, transmission of data"
"0556F","Plan of care for lipid control documented"
"0556T","Bone strength and fracture risk assessment"
"0557F","Plan of care for managing anginal symptoms documented"
"0557T","Bone strength and fracture risk analysis, interpretation and report"
"0558T","Computed tomography scan for biomechanical computed tomography analysis"
"0559T","Anatomical model, 3D printed, first component"
"0560T","Anatomical model, 3D printed, each additional component"
"0561T","Anatomical guide, 3D printed, first guide"
"0562T","Anatomical guide, 3D printed, each additional guide"
"0563T","Evacuation of meibomian glands using heat, bilateral"
"0565T","Autologous cellular implant, adipose-derived, harvesting"
"0566T","Autologous cellular implant, adipose-derived, injection"
"0569T","Transcatheter tricuspid valve repair, percutaneous approach, first prosthesis"
"0570T","Transcatheter tricuspid valve repair, percutaneous approach, each additional prosthesis"
"0571T","Insertion or replacement of implantable cardioverter-defibrillator system, substernal electrode"
"0572T","Insertion of substernal defibrillator electrode"
"0573T","Removal of substernal defibrillator electrode"
"0574T","Repositioning of previously substernal implanted defibrillator electrode"
"0575F","Human immunodeficiency virus RNA plan of care documented"
"0575T","Programming device evaluation, implantable cardioverter-defibrillator system, substernal, in person"
"0576T","Interrogation device evaluation, implantable cardioverter-defibrillator system, substernal, in person"
"0577T","Electrophysiological evaluation of implantable cardioverter-defibrillator system, substernal"
"0578T","Remote interrogation device evaluation, implantable cardioverter-defibrillator system, physician or other qualified healthcare professional"
"0579T","Remote interrogation device evaluation, implantable cardioverter-defibrillator system, technical support"
"0580F","Multidisciplinary care plan"
"0580T","Removal of substernal implanted defibrillator pulse generator only"
"0581F","Patient transferred from anesthesia to critical care unit"
"0581T","Ablation of malignant breast tumor, percutaneous cryotherapy"
"0582F","No transfer of patient from anesthesia to critical care unit"
"0582T","Transurethral ablation of malignant prostate tissue"
"0583F","Transfer of care checklist used"
"0583T","Tympanostomy, automated tube delivery system"
"0584F","No transfer of care checklist used"
"0584T","Percutaneous islet cell transplant"
"0585T","Laporoscopic islet cell transplant"
"0586T","Open islet cell transplant"
"0587T","Percutaneous implantation or replacement of integrated single-device neurostimulator, posterior tibial nerve"
"0588T","Revision or removal of integrated single-device neurostimulator, posterior tibial nerve"
"0589T","Electronic analysis and simple programming of integrated implantable neurostimulator"
"0590T","Electronic analysis and complex programming of integrated implantable neurostimulator"
"0591T","Health and well-being coaching, individual, first session"
"0592T","Health and well-being coaching, individual, follow-up session"
"0593T","Health and well-being coaching, group session"
"0594T","Osteotomy, humerus, with external lengthening device"
"0596T","Temporary female intraurethral valve-pump, first insertion"
"0597T","Temporary female intraurethral valve-pump, replacement"
"0598T","Real-time fluorescence wound imaging, first site"
"0599T","Real-time fluorescence wound imaging, each additional site"
"0600T","Ablation, irreversible electroporation, 1 or more tumors, other than liver or prostate, percutaneous"
"0601T","Ablation, irreversible electroporation, 1 or more tumors, open procedure"
"0602T","Transdermal glomerular filtration rate measurements"
"0603T","Transdermal glomerular filtration rate monitoring"
"0604T","Remote optical coherence tomography retinal thickness analysis, device setup and education"
"0605T","Remote optical coherence tomography retinal thickness analysis, technical support, minimum 8 days"
"0606T","Remote optical coherence tomography retinal thickness analysis, physician or other qualified healthcare professional evaluation, each 30 days"
"0607T","Remote monitoring of pulmonary fluid, monitor setup"
"0608T","Remote monitoring of pulmonary fluid, analysis"
"0609T","Magnetic resonance spectroscopy for discogenic pain, acquisition of data"
"0610T","Magnetic resonance spectroscopy for discogenic pain, transmission of data"
"0611T","Magnetic resonance spectroscopy for discogenic pain, algorithmic analysis of data"
"0612T","Magnetic resonance spectroscopy for discogenic pain, interpretation and report"
"0613T","Percutaneous transcatheter interatrial septal shunt"
"0614T","Removal and replacement of substernal implanted defibrillator pulse generator"
"0615T","Automated analysis of binocular eye movement"
"0620T","Endovascular venous arterialization, tibial or peroneal vein"
"0621T","Trabeculostomy, ab interno, laser"
"0622T","Trabeculostomy, ab interno, laser with endoscopic visualization"
"0627T","Percutaneous injection of allogeneic cellular product, fluoroscopic guidance, lumbar, first level"
"0628T","Percutaneous injection of allogeneic cellular product, fluoroscopic guidance, lumbar, each additional level"
"0629T","Percutaneous injection of allogeneic cellular product, computed tomography guidance, lumbar, first level"
"0630T","Percutaneous injection of allogeneic cellular product, computed tomography guidance, lumbar, each additional level"
"0632T","Percutaneous transcatheter ultrasound ablation of nerves, pulmonary artery"
"0633T","Computed tomography, breast, with 3D rendering, unilateral, without contrast"
"0633T","Computed tomography, breast, with 3D rendering, unilateral, without contrast"
"0633T","Computed tomography, breast, with 3D rendering, unilateral, without contrast"
"0634T","Computed tomography, breast, with 3D rendering, unilateral, with contrast"
"0634T","Computed tomography, breast, with 3D rendering, unilateral, with contrast"
"0634T","Computed tomography, breast, with 3D rendering, unilateral, with contrast"
"0635T","Computed tomography, breast, with 3D rendering, unilateral, without contrast followed by with contrast"
"0635T","Computed tomography, breast, with 3D rendering, unilateral, without contrast followed by with contrast"
"0635T","Computed tomography, breast, with 3D rendering, unilateral, without contrast followed by with contrast"
"0636T","Computed tomography, breast, with 3D rendering, bilateral, without contrast"
"0636T","Computed tomography, breast, with 3D rendering, bilateral, without contrast"
"0636T","Computed tomography, breast, with 3D rendering, bilateral, without contrast"
"0637T","Computed tomography, breast, with 3D rendering, bilateral, with contrast"
"0637T","Computed tomography, breast, with 3D rendering, bilateral, with contrast"
"0637T","Computed tomography, breast, with 3D rendering, bilateral, with contrast"
"0638T","Computed tomography, breast, with 3D rendering, bilateral, without contrast followed by with contrast"
"0638T","Computed tomography, breast, with 3D rendering, bilateral, without contrast followed by with contrast"
"0638T","Computed tomography, breast, with 3D rendering, bilateral, without contrast followed by with contrast"
"0639T","Wireless skin sensor anisotropy measurement"
"0640T","Non-contact infrared spectroscopy of tissue, first site"
"0640T","Non-contact infrared spectroscopy of tissue, first site"
"0640T","Non-contact infrared spectroscopy of tissue, first site"
"0643T","Transcatheter left ventricular restoration device implantation"
"0644T","Transcatheter removal or debulking of intracardiac mass, percutaneous"
"0645T","Transcatheter implantation of coronary sinus reduction device"
"0646T","Transcatheter tricuspid valve implantation or replacement with prosthetic valve, percutaneous"
"0647T","Insertion of gastrostomy tube, percutaneous, magnetic gastropexy"
"0648T","Quantitative magnetic resonance tissue characterization without MRI, single organ"
"0648T","Quantitative magnetic resonance tissue characterization without MRI, single organ"
"0648T","Quantitative magnetic resonance tissue characterization without MRI, single organ"
"0649T","Quantitative magnetic resonance tissue characterization with MRI, single organ"
"0649T","Quantitative magnetic resonance tissue characterization with MRI, single organ"
"0649T","Quantitative magnetic resonance tissue characterization with MRI, single organ"
"0650T","Programming device evaluation, subcutaneous cardiac rhythm monitor system, remote"
"0650T","Programming device evaluation, subcutaneous cardiac rhythm monitor system, remote"
"0650T","Programming device evaluation, subcutaneous cardiac rhythm monitor system, remote"
